Mark Hollenbeck,https://scholar.google.com/citations?hl=en&user=TPWrJeYAAAAJ
Zihao Zhou,https://scholar.google.com/citations?hl=en&user=xys0hMMAAAAJ
David Trossman,https://scholar.google.com/citations?hl=en&user=yjlRHFsAAAAJ
Craig Michoski,https://scholar.google.com/citations?hl=en&user=921m_DwAAAAJ
Erkin Bahceci,https://scholar.google.com/citations?hl=en&user=2rHP7DgAAAAJ
Huihuang Zheng,https://scholar.google.com/citations?hl=en&user=zt6ihIoAAAAJ
Swadhin Pradhan,https://scholar.google.com/citations?hl=en&user=YT4IhEIAAAAJ
Ali Astaneh,https://scholar.google.com/citations?hl=en&user=q3bl85sAAAAJ
Bing Ai,https://scholar.google.com/citations?hl=en&user=HYD0yDYAAAAJ
Xuesu Xiao,https://scholar.google.com/citations?hl=en&user=bWbsbjAAAAAJ
Parisa Khodabakhshi,https://scholar.google.com/citations?hl=en&user=lYr_g-MAAAAJ
Se Lee,https://scholar.google.com/citations?hl=en&user=dqhN0pkAAAAJ
Fares Fraij,https://scholar.google.com/citations?hl=en&user=1UTMuY8AAAAJ
Amin Kiaghadi,https://scholar.google.com/citations?hl=en&user=Gy8OqBEAAAAJ
Yuanxun Bao,https://scholar.google.com/citations?hl=en&user=INUh0hIAAAAJ
Guillermo Lorenzo,https://scholar.google.com/citations?hl=en&user=8CYNiF4AAAAJ
Yi-Hsuan Hsieh,https://scholar.google.com/citations?hl=en&user=LrDApqAAAAAJ
Yuchen Cui,https://scholar.google.com/citations?hl=en&user=qQz2cm8AAAAJ
John Lesicko,https://scholar.google.com/citations?hl=en&user=tmCO1jMAAAAJ
Chunhao Wang,https://scholar.google.com/citations?hl=en&user=SvSSCbkAAAAJ
Priyanka Mandikal,https://scholar.google.com/citations?hl=en&user=NRQftjIAAAAJ
Hailong Xiao,https://scholar.google.com/citations?hl=en&user=2jRxYdwAAAAJ
Udit Agarwal,https://scholar.google.com/citations?hl=en&user=2gDp6bQAAAAJ
Deukyeon Hwang,https://scholar.google.com/citations?hl=en&user=S1pk5EkAAAAJ
Gajanan Choudhary,https://scholar.google.com/citations?hl=en&user=usGVAiUAAAAJ
Mit Shah,https://scholar.google.com/citations?hl=en&user=mWIKbR0AAAAJ
Santhosh Ramakrishnan,https://scholar.google.com/citations?hl=en&user=zr9B1YgAAAAJ
Nevzat Domaniç,https://scholar.google.com/citations?hl=en&user=VsOgr_YAAAAJ
Santiago Gonzalez,https://scholar.google.com/citations?hl=en&user=4hBdee8AAAAJ
Ellen Le,https://scholar.google.com/citations?hl=en&user=UMrilRkAAAAJ
Sadegh Rabiee,https://scholar.google.com/citations?hl=en&user=QLFhfn0AAAAJ
Abheek Ghosh,https://scholar.google.com/citations?hl=en&user=8QkfHpAAAAAJ
Farzan Memarian,https://scholar.google.com/citations?hl=en&user=tHTUEFMAAAAJ
Liz Logan,https://scholar.google.com/citations?hl=en&user=SerfP-oAAAAJ
