Kai Kang,https://scholar.google.com/citations?hl=en&user=sN3OqnwAAAAJ
Áron Perez-Lopez,https://scholar.google.com/citations?hl=en&user=9KHYyXsAAAAJ
Josh Perozek,https://scholar.google.com/citations?hl=en&user=Vb2VJ9gAAAAJ
dewi siska,https://scholar.google.com/citations?hl=en&user=En92zkgAAAAJ
Vindula Jayawardana,https://scholar.google.com/citations?hl=en&user=223zAYsAAAAJ
Marc Falco,https://scholar.google.com/citations?hl=en&user=kEDN13kAAAAJ
Manuj Dhariwal,https://scholar.google.com/citations?hl=en&user=mwyYE-cAAAAJ
Jonathan Rosenfeld,https://scholar.google.com/citations?hl=en&user=8HYnMeYAAAAJ
Andrew Mullen,https://scholar.google.com/citations?hl=en&user=n9iJZB0AAAAJ
esraa abdalla,https://scholar.google.com/citations?hl=en&user=qN0M6tkAAAAJ
Michael Brennan,https://scholar.google.com/citations?hl=en&user=phsTbmIAAAAJ
Suhan Kim,https://scholar.google.com/citations?hl=en&user=1yOBNQIAAAAJ
Syamantak Payra,https://scholar.google.com/citations?hl=en&user=srRusqEAAAAJ
Soundarya Krishnan,https://scholar.google.com/citations?hl=en&user=clKj1vIAAAAJ
